티커,종목명,MA기간,돌파횟수,상승(10%↑),하락(5%↓),무승부,승률(%),목표달성률(%),평균최대수익률(%),평균최대손실률(%),최고수익률(%),최대손실률(%)
006260 KS,LS CORP,13,8,1,2,5,33.33333333333333,12.5,6.320974304170253,-3.777934559382869,16.219303255282696,-11.578667825499144
006260 KS,LS CORP,14,9,2,3,4,40.0,22.22222222222222,6.951165437267962,-4.88743684424471,16.219303255282696,-13.528974018830686
006260 KS,LS CORP,15,9,2,2,5,50.0,22.22222222222222,6.775947804193044,-3.965167821470472,16.219303255282696,-13.528974018830686
006260 KS,LS CORP,16,10,3,2,5,60.0,30.0,6.8144743351053645,-4.1261008737524865,13.380516368598949,-13.528974018830686
006260 KS,LS CORP,17,10,2,3,5,40.0,20.0,11.025212755255591,-4.592479294881042,63.744303458135995,-13.528974018830686
006260 KS,LS CORP,18,10,2,3,5,40.0,20.0,11.025212755255591,-4.592479294881042,63.744303458135995,-13.528974018830686
006260 KS,LS CORP,19,9,2,2,5,50.0,22.22222222222222,12.250236394728436,-3.816236124812365,63.744303458135995,-13.528974018830686
006260 KS,LS CORP,20,9,2,2,5,50.0,22.22222222222222,12.250236394728436,-3.816236124812365,63.744303458135995,-13.528974018830686
006800 KS,MIRAE ASSET SECURITIES CO LT,10,17,1,7,9,12.5,5.88235294117647,3.511367488924869,-4.792311148376765,12.217194570135746,-15.386638611257233
006800 KS,MIRAE ASSET SECURITIES CO LT,11,18,2,7,9,22.22222222222222,11.11111111111111,4.218906661736355,-4.510621470994917,16.247072599531617,-15.386638611257233
006800 KS,MIRAE ASSET SECURITIES CO LT,12,14,2,5,7,28.57142857142857,14.285714285714285,4.590449618195533,-4.057647797305081,16.247072599531617,-15.386638611257233
006800 KS,MIRAE ASSET SECURITIES CO LT,13,15,2,5,8,28.57142857142857,13.333333333333334,4.240044437115624,-4.093987776564192,16.247072599531617,-15.386638611257233
006800 KS,MIRAE ASSET SECURITIES CO LT,14,15,2,5,8,28.57142857142857,13.333333333333334,4.618214529454917,-4.365032205527504,16.247072599531617,-15.386638611257233
006800 KS,MIRAE ASSET SECURITIES CO LT,15,12,2,4,6,33.33333333333333,16.666666666666664,5.2274943519605115,-4.32373966738627,16.247072599531617,-15.386638611257233
006800 KS,MIRAE ASSET SECURITIES CO LT,16,13,2,5,6,28.57142857142857,15.384615384615385,4.584659086183481,-4.324485324933997,16.247072599531617,-15.386638611257233
006800 KS,MIRAE ASSET SECURITIES CO LT,17,12,3,4,5,42.857142857142854,25.0,6.292596540276186,-3.7716150769199253,16.247072599531617,-11.86770428015564
006800 KS,MIRAE ASSET SECURITIES CO LT,18,13,3,5,5,37.5,23.076923076923077,5.980541464124143,-4.040498085551302,16.247072599531617,-11.86770428015564
006800 KS,MIRAE ASSET SECURITIES CO LT,19,12,3,4,5,42.857142857142854,25.0,6.158407098955,-3.9247175715644382,16.247072599531617,-11.86770428015564
006800 KS,MIRAE ASSET SECURITIES CO LT,20,12,3,4,5,42.857142857142854,25.0,6.158407098955,-3.9247175715644382,16.247072599531617,-11.86770428015564
009420 KS,HANALL BIOPHARMA CO LTD,10,22,9,8,5,52.94117647058824,40.909090909090914,8.879208608905842,-5.745199124351506,25.774473358116477,-18.58407079646018
009420 KS,HANALL BIOPHARMA CO LTD,11,22,9,8,5,52.94117647058824,40.909090909090914,8.349439397331876,-5.563197893146349,25.774473358116477,-18.58407079646018
009420 KS,HANALL BIOPHARMA CO LTD,12,21,8,7,6,53.333333333333336,38.095238095238095,7.721375709292633,-5.118595589213614,25.774473358116477,-18.417462482946796
009420 KS,HANALL BIOPHARMA CO LTD,13,17,6,6,5,50.0,35.294117647058826,8.062080591113643,-5.531221584581428,25.774473358116477,-18.417462482946796
009420 KS,HANALL BIOPHARMA CO LTD,14,16,6,6,4,50.0,37.5,8.32702975623849,-5.189674095537317,25.774473358116477,-18.417462482946796
009420 KS,HANALL BIOPHARMA CO LTD,15,16,5,7,4,41.66666666666667,31.25,7.995485733795675,-5.569205817591698,25.774473358116477,-18.417462482946796
009420 KS,HANALL BIOPHARMA CO LTD,16,13,4,5,4,44.44444444444444,30.76923076923077,8.182258714461087,-5.687406534539568,25.774473358116477,-18.417462482946796
009420 KS,HANALL BIOPHARMA CO LTD,17,13,4,5,4,44.44444444444444,30.76923076923077,8.182258714461087,-5.687406534539568,25.774473358116477,-18.417462482946796
009420 KS,HANALL BIOPHARMA CO LTD,18,13,5,5,3,50.0,38.46153846153847,9.805579269805751,-5.266261867379208,25.774473358116477,-18.417462482946796
009420 KS,HANALL BIOPHARMA CO LTD,19,13,6,5,2,54.54545454545454,46.15384615384615,10.33098613082905,-5.191231621116084,25.774473358116477,-18.417462482946796
009420 KS,HANALL BIOPHARMA CO LTD,20,13,6,5,2,54.54545454545454,46.15384615384615,11.477846508087497,-4.9844287737824775,34.57142857142857,-18.417462482946796
009540 KS,HD KOREA SHIPBUILDING & OFFS,10,9,1,3,5,25.0,11.11111111111111,5.030928395915436,-3.4634881977743976,15.290933694181327,-6.699904672723744
009540 KS,HD KOREA SHIPBUILDING & OFFS,11,8,1,3,4,25.0,12.5,5.698896800082343,-4.211433401716407,15.290933694181327,-9.553981861100757
009540 KS,HD KOREA SHIPBUILDING & OFFS,12,8,2,2,4,50.0,25.0,6.160074036735024,-3.094764914120768,15.290933694181327,-6.699904672723744
009540 KS,HD KOREA SHIPBUILDING & OFFS,13,8,2,1,5,66.66666666666666,25.0,7.104240625023065,-2.035840291803361,15.290933694181327,-6.091149723510759
009540 KS,HD KOREA SHIPBUILDING & OFFS,14,10,2,2,6,50.0,20.0,6.157157470084068,-2.7316322093084446,15.290933694181327,-7.6024274629389215
009540 KS,HD KOREA SHIPBUILDING & OFFS,15,10,1,3,6,25.0,10.0,6.470493793037453,-3.429666954466504,15.290933694181327,-9.553981861100757
009540 KS,HD KOREA SHIPBUILDING & OFFS,16,10,2,3,5,40.0,20.0,7.373541805173235,-3.2584938934941805,15.290933694181327,-9.553981861100757
009540 KS,HD KOREA SHIPBUILDING & OFFS,17,10,2,3,5,40.0,20.0,7.373541805173235,-3.2584938934941805,15.290933694181327,-9.553981861100757
009540 KS,HD KOREA SHIPBUILDING & OFFS,18,10,2,3,5,40.0,20.0,7.373541805173235,-3.2584938934941805,15.290933694181327,-9.553981861100757
