Symbol,Category,Name,Price,RiseFall,Change,ChangeRate,NAV,EarningRate,Volume,Amount,MarCap
0094K0,6,TIGER 28-04 회사채(A+이상)액티브,98765,5,-125,-0.13,98746.0,-0.7279,26446,2613,3060
422420,2,RISE 2차전지액티브,9640,5,-285,-2.87,9642.0,3.8723,757105,7357,3060
476760,6,ACE 미국30년국채액티브,10075,5,-40,-0.4,10095.0,0.4523,416539,4212,3053
495060,1,TIME 코리아밸류업액티브,39850,2,1135,2.93,39611.0,49.8258,297667,11797,3049
471780,2,TIGER 코리아테크액티브,47200,2,350,0.75,47118.0,76.1871,417586,19674,3044
472870,6,RISE 미국30년국채엔화노출(합성 H),7805,5,-5,-0.06,7868.0,-3.6741,1029469,8056,3036
472160,4,TIGER 미국테크TOP10 INDXX(H),19835,2,160,0.81,19711.0,16.0082,908334,18040,2985
271050,5,KODEX WTI원유선물인버스(H),2045,5,-65,-3.08,2051.0,-43.2796,4541040,9324,2972
196230,6,RISE 단기통안채,116205,2,10,0.01,116228.0,0.5407,16815,1954,2897
363570,6,KODEX 장기종합채권(AA-이상)액티브,88565,5,-990,-1.11,88676.0,-5.8258,1599,142,2889
0052S0,7,1Q 미국S&P500미국채혼합50액티브,12545,2,20,0.16,12536.0,10.6281,364281,4591,2860
498270,4,KIWOOM 미국양자컴퓨팅,18445,5,-155,-0.83,18517.0,50.3479,360069,6709,2859
332500,1,ACE 200TR,94845,2,3740,4.11,94714.0,44.5422,78313,7376,2845
409820,4,KODEX 미국나스닥100레버리지(합성 H),21975,2,325,1.5,21755.0,43.9016,174896,3833,2824
493810,4,TIGER 미국AI빅테크10타겟데일리커버드콜,13265,2,55,0.42,13179.0,21.3422,395404,5272,2806
0180V0,4,ACE 미국우주테크액티브,14305,5,-640,-4.28,14553.0,,2192226,31669,2797
0047A0,4,TIGER 차이나테크TOP10,15480,5,-350,-2.21,15467.0,40.2747,235248,3701,2794
0104N0,2,TIGER 200타겟위클리커버드콜,27825,2,1395,5.28,27591.0,42.953,358318,9846,2783
437080,6,KODEX 미국종합채권ESG액티브(H),98945,5,-145,-0.15,99070.0,-1.4033,17880,1770,2775
273140,6,KODEX 단기변동금리부채권액티브,114755,2,15,0.01,114757.0,0.603,10234,1174,2751
458260,6,TIGER 미국투자등급회사채액티브(H),47665,5,-50,-0.1,47787.0,-1.439,19848,946,2723
473460,4,KODEX 미국서학개미,28545,2,110,0.39,28464.0,30.94,117408,3367,2712
0151P0,2,RISE 코리아전략산업액티브,20400,2,710,3.61,20358.0,35.606,1023013,20710,2693
442570,7,RISE TDF2050액티브 적격,19045,2,115,0.61,18911.0,15.9571,273871,5225,2676
0111P0,7,1Q 미국나스닥100미국채혼합50액티브,11930,2,10,0.08,11919.0,16.4996,448250,5384,2672
0151S0,4,KODEX 미국AI반도체TOP3플러스,17900,2,75,0.42,17657.0,68.755,1154810,20797,2640
363580,2,KODEX 200IT TR,77435,2,2070,2.75,76497.0,101.9967,412214,31452,2633
266160,2,RISE 고배당,40130,2,1595,4.14,40044.0,18.9174,170001,6742,2629
302190,6,TIGER 중장기국채,49955,5,-180,-0.36,49946.0,-2.3091,22723,1137,2628
423170,4,SOL 글로벌AI반도체탑픽액티브,70630,2,2350,3.44,69940.0,58.6601,224282,15702,2627
332930,1,HANARO 200TR,182895,2,5770,3.26,184494.0,44.1916,1176,216,2561
228790,2,TIGER 화장품,3530,2,40,1.15,3520.0,-5.0885,3334399,11736,2559
0005G0,2,IBK K-AI반도체코어테크,76370,2,1140,1.52,75992.0,131.9056,367254,28008,2558
190620,6,ACE 단기통안채,101310,2,10,0.01,101314.0,0.5359,24349,2466,2554
244580,2,KODEX 바이오,10710,5,-310,-2.81,10694.0,-22.0375,1905920,20473,2553
488980,6,SOL 26-12 회사채(AA-이상)액티브,51750,2,15,0.03,51750.0,0.6713,66,3,2545
448540,7,ACE 엔비디아채권혼합,26885,2,10,0.04,26716.0,7.264,224251,6037,2527
412570,2,TIGER 2차전지TOP10레버리지,2360,5,-130,-5.22,2362.0,16.9014,8023551,19229,2505
497880,6,SOL CD금리&머니마켓액티브,50025,2,10,0.02,50027.0,0.8021,163907,8199,2497
414780,4,TIGER 차이나과창판STAR50(합성),15220,5,-720,-4.52,15305.0,24.5312,821692,12906,2488
329650,7,KODEX TRF3070,14555,5,-30,-0.21,14592.0,2.6669,134430,1961,2474
490090,4,TIGER 미국AI빅테크10,17715,2,110,0.62,17589.0,22.5121,174421,3107,2462
0051G0,4,SOL 미국원자력SMR,16720,2,70,0.42,16756.0,-0.8713,235529,3961,2399
463290,6,1Q 단기금융채액티브,108430,2,20,0.02,108433.0,0.6452,6361,689,2397
461950,2,KODEX 2차전지핵심소재10,7035,5,-325,-4.42,7026.0,-2.5244,1388779,9872,2392
495550,1,SOL 코리아밸류업TR,41555,2,1615,4.04,41399.0,41.8827,146126,5989,2389
0008S0,4,TIGER 미국배당다우존스타겟데일리커버드콜,10535,5,-45,-0.43,10529.0,9.1024,376957,3988,2381
305080,6,TIGER 미국채10년선물,13500,5,-40,-0.3,13520.0,2.0346,204553,2775,2376
0089D0,2,KODEX 금융고배당TOP10,12720,2,30,0.24,12803.0,-7.6506,538902,6934,2366
261260,7,KODEX 미국달러선물인버스2X,4520,5,-5,-0.11,4543.0,-9.9503,1560639,7001,2345
491820,2,HANARO 전력설비투자,59845,2,3335,5.9,59865.0,34.8914,323402,19460,2334
494220,2,UNICORN SK하이닉스밸류체인액티브,53855,5,-140,-0.26,53942.0,57.2135,391398,21173,2316
476450,6,KIWOOM 머니마켓액티브,52360,2,5,0.01,52367.0,0.7214,12426,650,2293
0092C0,6,SOL 27-12 회사채(AA-이상)액티브,49880,5,-10,-0.02,49876.0,0.0802,6563,327,2285
117700,2,KODEX 건설,7680,5,-330,-4.12,7706.0,15.3474,3013696,23347,2281
0115D0,2,KODEX 조선TOP10,10200,5,-125,-1.21,10223.0,-2.3844,2530260,26317,2259
0048K0,4,KODEX 차이나휴머노이드로봇,10865,5,-45,-0.41,10845.0,-2.5222,1267351,13923,2249
0040X0,7,SOL 팔란티어미국채커버드콜혼합,10300,2,255,2.54,10328.0,5.0676,966671,9990,2245
403790,1,MIDAS 코스피액티브,72310,2,2630,3.77,72721.0,33.3843,57137,4158,2224
491610,6,1Q CD금리액티브(합성),104110,2,20,0.02,103656.0,0.6673,4799,499,2221
0182R0,2,1Q K반도체TOP2+,15380,2,675,4.59,15331.0,,1834381,27823,2199
0064K0,5,KODEX 금액티브,14200,5,-5,-0.04,14236.0,-9.2912,334968,4799,2180
496020,6,WON 전단채플러스액티브,51995,2,10,0.02,51993.0,0.8047,3696,192,2177
0005D0,2,SOL 전고체배터리&실리콘음극재,22010,5,-675,-2.98,22014.0,10.4968,1148470,25367,2124
452360,4,SOL 미국배당다우존스(H),12705,5,-100,-0.78,12747.0,4.1849,151795,1934,2109
0093A0,2,RISE AI반도체TOP10,39665,2,1030,2.67,39580.0,23.7255,355360,13973,2082
160580,5,TIGER 구리실물,17025,2,125,0.74,16969.0,7.5747,301341,5129,2069
0119H0,6,KODEX 28-12 회사채(AA-이상)액티브,9860,3,0,0.0,9868.0,-0.8548,21782,214,2065
0000J0,2,PLUS 한화그룹주,35105,5,-535,-1.5,35123.0,-8.0558,253487,9037,2036
233160,3,TIGER 코스닥150 레버리지,15560,5,-480,-2.99,15441.0,-29.5874,2392059,37504,2023
325010,2,KODEX 성장주,55965,2,1625,2.99,55920.0,48.5827,28138,1572,2015
377990,2,TIGER Fn신재생에너지,33755,2,335,1.0,33886.0,29.0347,257125,8773,2008
461270,6,ACE 26-06 회사채(AA-이상)액티브,11190,3,0,0.0,11208.0,0.6747,7738,86,1954
337160,2,KODEX 200ESG,60990,2,2495,4.27,60891.0,52.1865,183443,11037,1952
0153K0,2,KODEX 주주환원고배당주,12235,2,235,1.96,12250.0,-4.482,791888,9692,1945
122090,1,PLUS 코스피50,107385,2,5210,5.1,107029.0,49.1359,148247,15743,1933
138520,2,TIGER 삼성그룹,46320,2,1590,3.55,46170.0,58.3336,340083,15707,1927
0074K0,2,KoAct K수출핵심기업TOP30액티브,22760,2,670,3.03,22648.0,27.6509,253488,5755,1912
0123G0,4,TIGER 미국AI전력SMR,8640,5,-40,-0.46,8630.0,14.1354,499410,4324,1909
251340,3,KODEX 코스닥150선물인버스,2125,2,45,2.16,2141.0,1.4634,33592719,70655,1908
480020,4,ACE 미국빅테크7+데일리타겟커버드콜(합성),13855,2,140,1.02,13757.0,20.4252,169450,2350,1898
252400,3,RISE 200선물레버리지,208140,2,18525,9.77,209036.0,86.6289,11896,2369,1873
237370,7,KODEX 코리아배당성장채권혼합,16300,2,130,0.8,16351.0,-0.3578,345355,5641,1858
0069M0,4,1Q 미국나스닥100,15205,2,100,0.66,15139.0,26.9294,395977,6040,1855
457990,2,PLUS 태양광&ESS,46595,2,710,1.55,46634.0,36.4234,430235,20103,1841
0122W0,6,RISE 26-11 회사채(AA-이상)액티브,50625,5,-10,-0.02,50632.0,0.6259,1305,66,1840
272560,6,RISE 단기국공채액티브,114085,2,5,0.0,114070.0,0.4225,8990,1025,1832
480040,4,ACE 미국반도체데일리타겟커버드콜(합성),20640,2,90,0.44,20300.0,51.9323,210717,4346,1816
0091C0,6,KODEX 미국10년국채액티브(H),9765,5,-20,-0.2,9780.0,-2.668,102291,998,1814
0080Y0,2,SOL 조선TOP3플러스레버리지,18120,5,-200,-1.09,18313.0,-13.5238,940618,17470,1812
200250,4,KIWOOM 인도Nifty50(합성),22900,5,-215,-0.93,23053.0,-6.907,42583,981,1809
481180,4,SOL 미국AI소프트웨어,16690,2,1270,8.24,16377.0,30.5098,1930048,32302,1803
152870,1,파워 200,143255,2,6595,4.83,142038.0,44.4637,23014,3273,1791
0162M0,6,KODEX 금융채1~2년(AA-이상)PLUS액티브,9985,5,-15,-0.15,9990.0,-0.2494,1192,11,1781
471760,2,TIGER AI반도체핵심공정,19900,2,300,1.53,19917.0,-1.5351,817238,16211,1781
0005A0,4,KODEX 미국S&P500데일리커버드콜OTM,10575,2,50,0.48,10539.0,15.0689,236164,2497,1777
304780,3,HANARO 200선물레버리지,253365,2,24895,10.9,253721.0,84.8462,46266,11713,1774
458210,7,KIWOOM CD금리액티브(합성),109795,3,0,0.0,109766.0,0.6785,968,106,1771
143860,2,TIGER 헬스케어,43220,5,-425,-0.97,43244.0,-21.5576,88624,3828,1763
130730,6,KIWOOM 단기자금,102315,3,0,0.0,102333.0,0.5997,8431,862,1754
367770,2,RISE 수소경제테마,31575,2,75,0.24,31783.0,15.5822,208391,6688,1752
