Unnamed: 0,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
44,316140,KR7316140003,우리금융지주,KOSPI,,29700,2,-350,-1.16,30350,30500,29200,5184190,154000655925,21802066704000,734076320,STK
45,017670,KR7017670001,SK텔레콤,KOSPI,,100600,1,3700,3.82,99300,102000,96900,1962803,196196651050,21607879331800,214790053,STK
46,247540,KR7247540008,에코프로비엠,KOSDAQ GLOBAL,중견기업부,217000,2,-1500,-0.69,217500,217500,210000,1276544,275394717250,21229204178000,97830434,KSQ
47,096770,KR7096770003,SK이노베이션,KOSPI,,119200,1,2200,1.88,117400,119400,113000,925845,109041292400,20151092329600,169052788,STK
48,272210,KR7272210006,한화시스템,KOSPI,,105000,2,-900,-0.85,107900,109300,102500,1144956,120006067200,19836535845000,188919389,STK
49,196170,KR7196170005,알테오젠,KOSDAQ GLOBAL,우량기업부,369000,2,-500,-0.14,373000,374000,361000,524776,192743921500,19773360567000,53586343,KSQ
50,033780,KR7033780008,KT&G,KOSPI,,184700,1,1000,0.54,184000,186000,180000,621354,114212892750,19173791223200,103810456,STK
51,086520,KR7086520004,에코프로,KOSDAQ GLOBAL,중견기업부,139000,2,-5700,-3.94,143800,143800,138100,1982448,276371687500,18872885128000,135776152,KSQ
52,035720,KR7035720002,카카오,KOSPI,,41950,1,1850,4.61,40450,44000,40450,7411980,312913595550,18528921257300,441690614,STK
53,011200,KR7011200003,HMM,KOSPI,,19560,2,-50,-0.25,19650,19710,19170,4744254,92555019940,18449734693200,943237970,STK
54,086280,KR7086280005,현대글로비스,KOSPI,,242500,1,9500,4.08,237000,250000,232500,918380,222014913500,18187500000000,75000000,STK
55,079550,KR7079550000,LIG디펜스앤에어로스페이스,KOSPI,,801000,2,-55000,-6.43,857000,872000,801000,254105,207373731000,17622000000000,22000000,STK
56,138040,KR7138040001,메리츠금융지주,KOSPI,,102900,2,-100,-0.1,104100,105100,100200,1032406,106076280150,17220034391700,167347273,STK
57,047810,KR7047810007,한국항공우주,KOSPI,,168300,1,400,0.24,168800,175200,165500,1028064,174354166000,16405060508100,97475107,STK
58,000720,KR7000720003,현대건설,KOSPI,,147000,1,5600,3.96,143400,147000,138000,1291982,185448035450,16369297455000,111355765,STK
59,024110,KR7024110009,기업은행,KOSPI,,20200,2,-250,-1.22,20600,20600,20000,4864259,98161030725,16108002553800,797425869,STK
60,278470,KR7278470000,에이피알,KOSPI,,395500,2,-5000,-1.25,396500,399000,379000,539383,210947366850,14806790302500,37438155,STK
61,006260,KR7006260004,LS,KOSPI,,446000,2,-29500,-6.2,487500,487500,428000,459222,203648721000,13915200000000,31200000,STK
